unique.cellid,CGP.cellid,CCLE.cellid,GSK.cellid,GRAY.cellid,GNE.cellid,CTRP.cellid,CGP_EMTAB3610.cellid,CCLE_rnaseq.cellid,GDSC.SNP.cellid,Ben_Neel.cellid,CTRPv2.cellid,gCSI.cellid,GDSC1000.cellid,CGP.tissueid,CCLE.tissueid,GSK.tissueid,GRAY.tissueid,GNE.tissueid,CTRP.tissueid,CGP_EMTAB3610.tissueid,CCLE_rnaseq.tissueid,GDSC.SNP.tissueid,Ben_Neel.tissueid,COSMIC.tissueid,unique.tissueid,CTRPv2.tissueid,gCSI.tissueid,GDSC1000.tissueid
ACC-MESO-1,NA,ACC-MESO-1,NA,NA,NA,NA,NA,ACC-MESO-1,NA,NA,ACCMESO1,NA,NA,NA,pleura,NA,NA,NA,NA,NA,pleura,NA,NA,pleura,pleura,pleura,NA,NA
ACCS,NA,ACCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,urinary_tract,NA,NA,NA,NA,NA,NA,NA,NA,NA,urinary_tract,NA,NA,NA
ACHN,ACHN,ACHN,ACHN,NA,ACHN,NA,ACHN,ACHN,ACHN,NA,ACHN,ACHN,ACHN,kidney,kidney,kidney,NA,Kidney,NA,Kidney,kidney,kidney ,NA,kidney,kidney,kidney,Kidney,kidney
ACN,ACN,NA,NA,NA,NA,NA,ACN,NA,ACN,NA,NA,NA,NA,autonomic_ganglia,NA,NA,NA,NA,NA,autonomic_ganglia,NA,nervous_system ,NA,autonomic_ganglia,autonomic_ganglia,NA,NA,autonomic_ganglia
AGS,AGS,AGS,AGS,NA,AGS,AGS,AGS,AGS,AGS,NA,AGS,AGS,AGS,stomach,stomach,stomach,NA,Stomach,STOMACH,Stomach,stomach,digestive_system ,NA,stomach,stomach,stomach,Stomach,stomach
Alexander cells,NA,Alexander cells,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,liver,NA,NA,NA
ALL-PO,ALL-PO,NA,NA,NA,NA,NA,ALL-PO,NA,ALL-PO,NA,NA,NA,ALL-PO,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,Blood,NA,blood ,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue
ALL-SIL,NA,ALL-SIL,NA,NA,NA,NA,ALL-SIL,ALL-SIL,ALL-SIL,NA,ALLSIL,NA,ALL-SIL,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,Blood,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue
AM-38,AM-38,AM-38,NA,NA,NA,NA,AM-38,AM-38,NA,NA,AM38,AM-38,AM-38,central_nervous_system,central_nervous_system,NA,NA,NA,NA,CNS,central_nervous_system,NA,NA,central_nervous_system,central_nervous_system,central_nervous_system,Brain,central_nervous_system
AML-193,AML-193,AML-193,NA,NA,NA,NA,NA,AML-193,NA,NA,AML193,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA
AMO-1,NA,AMO-1,NA,NA,AMO-1,AMO1,AMO-1,AMO-1,AMO-1,NA,AMO1,AMO-1,AMO-1,NA,haematopoietic_and_lymphoid_tissue,NA,NA,Blood,HEMATOPOIETIC_AND_LYMPHOID_TISSUE,Blood,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,Blood,haematopoietic_and_lymphoid_tissue
AN3-CA,AN3-CA,AN3 CA,AN3CA,NA,AN3 CA,NA,AN3-CA,AN3_CA,AN3-CA,NA,AN3CA,AN3 CA,AN3-CA,endometrium,endometrium,uterus,NA,Uterus,NA,Uterus,endometrium,urogenital_system ,NA,endometrium,endometrium,endometrium,Uterus,endometrium
ARH-77,ARH-77,NA,ARH77,NA,NA,NA,ARH-77,NA,NA,NA,NA,NA,ARH-77,haematopoietic_and_lymphoid_tissue,NA,hematopoietic_and_lymphatic_system,NA,NA,NA,Blood,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue
ASH-3,NA,NA,NA,NA,NA,NA,ASH-3,NA,ASH-3,NA,NA,NA,ASH-3,NA,NA,NA,NA,NA,NA,Thyroid,NA,NA,NA,thyroid,thyroid,NA,NA,thyroid
ASKA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ASKA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AsPC-1,AsPC-1,AsPC-1,ASPC1,NA,AsPC-1,NA,AsPC-1,AsPC-1,AsPC-1,NA,ASPC1,AsPC-1,AsPC-1,pancreas,pancreas,pancreas,NA,Pancreas,NA,Pancreas,pancreas,pancreas ,NA,pancreas,pancreas,pancreas,Pancreas,pancreas
ATN-1,ATN-1,NA,NA,NA,NA,NA,ATN-1,NA,ATN-1,NA,NA,NA,ATN-1,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,Blood,NA,blood ,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue
ATRFLOX,NA,NA,NA,NA,ATRFLOX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Colon,NA,NA,NA,NA,NA,NA,large_intestine,NA,NA,NA
AU565,AU565,AU565,NA,AU565,NA,NA,AU565,AU565,AU565,au565,AU565,AU565,AU565,breast,breast,NA,breast,NA,NA,Breast,breast,breast ,breast,breast,breast,breast,Breast,breast
AU655,NA,NA,NA,NA,NA,NA,NA,NA,NA,au655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breast,NA,breast,NA,NA,NA
AZ-521,NA,AZ-521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,stomach,NA,NA,NA,NA,NA,NA,NA,NA,stomach,stomach,NA,NA,NA
BALL-1,BALL-1,NA,NA,NA,NA,NA,BALL-1,NA,BALL-1,NA,NA,NA,BALL-1,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,Blood,NA,blood ,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue
BB30-HNC,BB30-HNC,NA,NA,NA,NA,NA,BB30-HNC,NA,BB30-HNC,NA,NA,NA,BB30-HNC,upper_aerodigestive_tract,NA,NA,NA,NA,NA,H&N,NA,aero_digestive_tract ,NA,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,NA,upper_aerodigestive_tract
BB49-HNC,BB49-HNC,NA,NA,NA,NA,NA,BB49-HNC,NA,BB49-HNC,NA,NA,NA,BB49-HNC,upper_aerodigestive_tract,NA,NA,NA,NA,NA,H&N,NA,aero_digestive_tract ,NA,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,NA,upper_aerodigestive_tract
BB65-RCC,BB65-RCC,NA,NA,NA,NA,NA,BB65-RCC,NA,BB65-RCC,NA,NA,NA,BB65-RCC,kidney,NA,NA,NA,NA,NA,Kidney,NA,kidney ,NA,kidney,kidney,NA,NA,kidney
BC-1,BC-1,NA,BC1,NA,NA,NA,BC-1,NA,BC-1,NA,NA,NA,BC-1,haematopoietic_and_lymphoid_tissue,NA,hematopoietic_and_lymphatic_system,NA,NA,NA,Blood,NA,blood ,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue
BC-2,NA,NA,BC2,NA,NA,NA,NA,NA,NA,NA,NA,NA,BC-2,NA,NA,hematopoietic_and_lymphatic_system,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue
BC-3,BC-3,NA,BC3,NA,NA,NA,NA,NA,BC-3,NA,NA,NA,BC-3,haematopoietic_and_lymphoid_tissue,NA,hematopoietic_and_lymphatic_system,NA,NA,NA,NA,NA,blood ,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue
BC-3C,NA,BC-3C,NA,NA,NA,NA,NA,BC-3C,NA,NA,BC3C,NA,NA,NA,urinary_tract,NA,NA,NA,NA,NA,urinary_tract,NA,NA,urinary_tract,urinary_tract,urinary_tract,NA,NA
BCP-1,NA,BCP-1,NA,NA,NA,NA,NA,BCP-1,NA,NA,BCP1,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA
BCPAP,BCPAP,B-CPAP,NA,NA,NA,NA,BCPAP,B-CPAP,BCPAP,NA,BCPAP,B-CPAP,BCPAP,thyroid,thyroid,NA,NA,NA,NA,Thyroid,thyroid,thyroid ,NA,thyroid,thyroid,thyroid,Thyroid,thyroid
BDCM,NA,BDCM,BDCM,NA,NA,NA,NA,BDCM,NA,NA,BDCM,NA,NA,NA,haematopoietic_and_lymphoid_tissue,hematopoietic_and_lymphatic_system,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA
BE-13,BE-13,NA,NA,NA,NA,NA,BE-13,NA,BE-13,NA,NA,NA,BE-13,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,Blood,NA,blood ,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue
BE2-M17,NA,NA,NA,NA,NA,NA,BE2-M17,NA,BE2-M17,NA,NA,NA,BE2-M17,NA,NA,NA,NA,NA,NA,Brain,NA,NA,NA,autonomic_ganglia,autonomic_ganglia,NA,NA,autonomic_ganglia
Becker,Becker,Becker,NA,NA,NA,NA,Becker,NA,Becker,NA,BECKER,NA,Becker,central_nervous_system,central_nervous_system,NA,NA,NA,NA,CNS,NA,nervous_system ,NA,central_nervous_system,central_nervous_system,central_nervous_system,NA,central_nervous_system
BEN,BEN,BEN,NA,NA,BEN,BEN,BEN,BEN,BEN,NA,BEN,BEN,BEN,lung,lung,NA,NA,Lung,LUNG,Lung:NSCLC,lung,lung ,NA,lung,lung,lung,Lung,lung
BFTC-905,BFTC-905,BFTC-905,BFTC905,NA,BFTC-905,NA,BFTC-905,BFTC-905,BFTC-905,NA,BFTC905,NA,BFTC-905,urinary_tract,urinary_tract,bladder,NA,Urinary Bladder,NA,Bladder,urinary_tract,urogenital_system ,NA,urinary_tract,urinary_tract,urinary_tract,NA,urinary_tract
BFTC-909,BFTC-909,BFTC-909,NA,NA,BFTC-909,NA,BFTC-909,BFTC-909,BFTC-909,NA,BFTC909,BFTC-909,BFTC-909,urinary_tract,kidney,NA,NA,Kidney,NA,Kidney,urinary_tract,kidney ,NA,urinary_tract,urinary_tract,kidney,Kidney,urinary_tract
BGC-823,NA,BGC-823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,stomach,NA,NA,NA
BHT-101,BHT-101,BHT-101,BHT101,NA,NA,NA,BHT-101,BHT-101,BHT-101,NA,BHT101,NA,BHT-101,thyroid,thyroid,thyroid_gland,NA,NA,NA,Thyroid,thyroid,thyroid ,NA,thyroid,thyroid,thyroid,NA,thyroid
BHY,BHY,BHY,NA,NA,BHY,NA,BHY,BHY,BHY,NA,BHY,BHY,BHY,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,NA,Oral Cavity,NA,Head & Neck,upper_aerodigestive_tract,aero_digestive_tract ,NA,upper_aerodigestive_tract,upper_aerodigestive_tract,upper_aerodigestive_tract,Head and Neck,upper_aerodigestive_tract
BICR 10,NA,NA,NA,NA,BICR 10,NA,BICR10,NA,BICR10,NA,NA,NA,BICR10,NA,NA,NA,NA,Oral Cavity,NA,Head & Neck,NA,NA,NA,NA,oral_cavity,NA,NA,oral_cavity
BICR 16,NA,BICR 16,NA,NA,NA,NA,NA,BICR_16,NA,NA,BICR16,NA,NA,NA,upper_aerodigestive_tract,NA,NA,NA,NA,NA,upper_aerodigestive_tract,NA,NA,NA,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,NA
BICR 18,NA,BICR 18,NA,NA,NA,NA,NA,BICR_18,NA,NA,BICR18,NA,NA,NA,upper_aerodigestive_tract,NA,NA,NA,NA,NA,upper_aerodigestive_tract,NA,NA,NA,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,NA
BICR 22,NA,BICR 22,NA,NA,BICR 22,NA,BICR22,BICR_22,BICR22,NA,BICR22,NA,BICR22,NA,upper_aerodigestive_tract,NA,NA,Tongue,NA,Head & Neck,upper_aerodigestive_tract,NA,NA,NA,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,upper_aerodigestive_tract
BICR 31,NA,BICR 31,NA,NA,BICR 31,NA,BICR31,BICR_31,BICR31,NA,BICR31,NA,BICR31,NA,upper_aerodigestive_tract,NA,NA,Tongue,NA,Head & Neck,upper_aerodigestive_tract,NA,NA,NA,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,upper_aerodigestive_tract
BICR 56,NA,BICR 56,NA,NA,NA,NA,NA,BICR_56,NA,NA,BICR56,NA,NA,NA,upper_aerodigestive_tract,NA,NA,NA,NA,NA,upper_aerodigestive_tract,NA,NA,NA,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,NA
BICR 6,NA,BICR 6,NA,NA,NA,NA,NA,BICR_6,NA,NA,BICR6,NA,NA,NA,upper_aerodigestive_tract,NA,NA,NA,NA,NA,upper_aerodigestive_tract,NA,NA,NA,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,NA
BICR 78,NA,NA,NA,NA,BICR 78,NA,BICR78,NA,BICR78,NA,NA,NA,BICR78,NA,NA,NA,NA,Oral Cavity,NA,Head & Neck,NA,NA,NA,NA,oral_cavity,NA,NA,oral_cavity
BJ hTERT,NA,BJ hTERT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,skin,NA,NA,NA,NA,NA,NA,NA,NA,NA,skin,NA,NA,NA
BJAB,NA,NA,NA,NA,BJAB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lymph Node,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA
BL-41,BL-41,BL-41,NA,NA,NA,NA,BL-41,BL-41,BL-41,NA,BL41,NA,BL-41,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,blood ,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue
